in s,C1 in V
-1.1896947E+00,3.29590E+00
-1.1896764E+00,3.36426E+00
-1.1896580E+00,3.34473E+00
-1.1896397E+00,3.33496E+00
-1.1896213E+00,3.30566E+00
-1.1896030E+00,3.28613E+00
-1.1895847E+00,3.31543E+00
-1.1895663E+00,3.35449E+00
-1.1895480E+00,3.36426E+00
-1.1895297E+00,3.36426E+00
-1.1895113E+00,3.31543E+00
-1.1894930E+00,3.34473E+00
-1.1894747E+00,3.28613E+00
-1.1894563E+00,3.34473E+00
-1.1894380E+00,3.40332E+00
-1.1894196E+00,3.31543E+00
-1.1894013E+00,3.33496E+00
-1.1893830E+00,3.33496E+00
-1.1893646E+00,3.36426E+00
-1.1893463E+00,3.33496E+00
-1.1893280E+00,3.36426E+00
-1.1893096E+00,3.34473E+00
-1.1892913E+00,3.35449E+00
-1.1892730E+00,3.32520E+00
-1.1892546E+00,3.26660E+00
-1.1892363E+00,3.26660E+00
-1.1892180E+00,3.34473E+00
-1.1891996E+00,3.38379E+00
-1.1891813E+00,3.34473E+00
-1.1891629E+00,3.33496E+00
-1.1891446E+00,3.32520E+00
-1.1891263E+00,3.25684E+00
-1.1891079E+00,3.27637E+00
-1.1890896E+00,3.38379E+00
-1.1890713E+00,3.36426E+00
-1.1890529E+00,3.36426E+00
-1.1890346E+00,3.37402E+00
-1.1890163E+00,3.30566E+00
-1.1889979E+00,3.31543E+00
-1.1889796E+00,3.27637E+00
-1.1889612E+00,3.37402E+00
-1.1889429E+00,3.36426E+00
-1.1889246E+00,3.36426E+00
-1.1889062E+00,3.32520E+00
-1.1888879E+00,3.34473E+00
-1.1888696E+00,3.27637E+00
-1.1888512E+00,3.34473E+00
-1.1888329E+00,3.37402E+00
-1.1888146E+00,3.34473E+00
-1.1887962E+00,3.36426E+00
-1.1887779E+00,3.35449E+00
-1.1887596E+00,3.28613E+00
-1.1887412E+00,3.38379E+00
-1.1887229E+00,3.34473E+00
-1.1887045E+00,3.31543E+00
-1.1886862E+00,3.33496E+00
-1.1886679E+00,3.28613E+00
-1.1886495E+00,3.32520E+00
-1.1886312E+00,3.30566E+00
-1.1886129E+00,3.32520E+00
-1.1885945E+00,3.35449E+00
-1.1885762E+00,3.33496E+00
-1.1885579E+00,3.32520E+00
-1.1885395E+00,3.33496E+00
-1.1885212E+00,3.30566E+00
-1.1885028E+00,3.30566E+00
-1.1884845E+00,3.36426E+00
-1.1884662E+00,3.34473E+00
-1.1884478E+00,3.34473E+00
-1.1884295E+00,3.35449E+00
-1.1884112E+00,3.33496E+00
-1.1883928E+00,3.27637E+00
-1.1883745E+00,3.30566E+00
-1.1883562E+00,3.35449E+00
-1.1883378E+00,3.40332E+00
-1.1883195E+00,3.37402E+00
-1.1883012E+00,3.31543E+00
-1.1882828E+00,3.33496E+00
-1.1882645E+00,3.29590E+00
-1.1882461E+00,3.30566E+00
-1.1882278E+00,3.41309E+00
-1.1882095E+00,3.37402E+00
-1.1881911E+00,3.34473E+00
-1.1881728E+00,3.30566E+00
-1.1881545E+00,3.31543E+00
-1.1881361E+00,3.32520E+00
-1.1881178E+00,3.28613E+00
-1.1880995E+00,3.32520E+00
-1.1880811E+00,3.38379E+00
-1.1880628E+00,3.38379E+00
-1.1880444E+00,3.30566E+00
-1.1880261E+00,3.33496E+00
-1.1880078E+00,3.28613E+00
-1.1879894E+00,3.26660E+00
-1.1879711E+00,3.37402E+00
-1.1879528E+00,3.33496E+00
-1.1879344E+00,3.34473E+00
-1.1879161E+00,3.34473E+00
-1.1878978E+00,3.30566E+00
-1.1878794E+00,3.27637E+00
-1.1878611E+00,3.30566E+00
-1.1878428E+00,3.28613E+00
-1.1878244E+00,3.28613E+00
-1.1878061E+00,3.34473E+00
-1.1877877E+00,3.39355E+00
-1.1877694E+00,3.31543E+00
-1.1877511E+00,3.34473E+00
-1.1877327E+00,3.27637E+00
-1.1877144E+00,3.27637E+00
-1.1876961E+00,3.34473E+00
-1.1876777E+00,3.31543E+00
-1.1876594E+00,3.33496E+00
-1.1876411E+00,3.35449E+00
-1.1876227E+00,3.30566E+00
-1.1876044E+00,3.35449E+00
-1.1875860E+00,3.27637E+00
-1.1875677E+00,3.31543E+00
-1.1875494E+00,3.38379E+00
-1.1875310E+00,3.34473E+00
-1.1875127E+00,3.30566E+00
-1.1874944E+00,3.36426E+00
-1.1874760E+00,3.32520E+00
-1.1874577E+00,3.30566E+00
-1.1874394E+00,3.36426E+00
-1.1874210E+00,3.38379E+00
-1.1874027E+00,3.33496E+00
-1.1873844E+00,3.39355E+00
-1.1873660E+00,3.32520E+00
-1.1873477E+00,3.30566E+00
-1.1873293E+00,3.30566E+00
-1.1873110E+00,3.28613E+00
-1.1872927E+00,3.40332E+00
-1.1872743E+00,3.37402E+00
-1.1872560E+00,3.38379E+00
-1.1872377E+00,3.32520E+00
-1.1872193E+00,3.31543E+00
-1.1872010E+00,3.29590E+00
-1.1871827E+00,3.37402E+00
-1.1871643E+00,3.34473E+00
-1.1871460E+00,3.35449E+00
-1.1871276E+00,3.35449E+00
-1.1871093E+00,3.33496E+00
-1.1870910E+00,3.34473E+00
-1.1870726E+00,3.34473E+00
-1.1870543E+00,3.32520E+00
-1.1870360E+00,3.33496E+00
-1.1870176E+00,3.28613E+00
-1.1869993E+00,3.32520E+00
-1.1869810E+00,3.32520E+00
-1.1869626E+00,3.29590E+00
-1.1869443E+00,3.37402E+00
-1.1869260E+00,3.37402E+00
-1.1869076E+00,3.37402E+00
-1.1868893E+00,3.30566E+00
-1.1868709E+00,3.33496E+00
-1.1868526E+00,3.28613E+00
-1.1868343E+00,3.26660E+00
-1.1868159E+00,3.33496E+00
-1.1867976E+00,3.37402E+00
-1.1867793E+00,3.35449E+00
-1.1867609E+00,3.35449E+00
-1.1867426E+00,3.33496E+00
-1.1867243E+00,3.26660E+00
-1.1867059E+00,3.36426E+00
-1.1866876E+00,3.37402E+00
-1.1866692E+00,3.34473E+00
-1.1866509E+00,3.30566E+00
-1.1866326E+00,3.34473E+00
-1.1866142E+00,3.28613E+00
-1.1865959E+00,3.37402E+00
-1.1865776E+00,3.33496E+00
-1.1865592E+00,3.34473E+00
-1.1865409E+00,3.35449E+00
-1.1865226E+00,3.37402E+00
-1.1865042E+00,3.34473E+00
-1.1864859E+00,3.31543E+00
-1.1864676E+00,3.30566E+00
-1.1864492E+00,3.35449E+00
-1.1864309E+00,3.33496E+00
-1.1864125E+00,3.38379E+00
-1.1863942E+00,3.36426E+00
-1.1863759E+00,3.30566E+00
-1.1863575E+00,3.32520E+00
-1.1863392E+00,3.33496E+00
-1.1863209E+00,3.34473E+00
-1.1863025E+00,3.38379E+00
-1.1862842E+00,3.34473E+00
-1.1862659E+00,3.30566E+00
-1.1862475E+00,3.27637E+00
-1.1862292E+00,3.30566E+00
-1.1862108E+00,3.32520E+00
-1.1861925E+00,3.37402E+00
-1.1861742E+00,3.32520E+00
-1.1861558E+00,3.31543E+00
-1.1861375E+00,3.33496E+00
-1.1861192E+00,3.30566E+00
-1.1861008E+00,3.29590E+00
-1.1860825E+00,3.35449E+00
-1.1860642E+00,3.37402E+00
-1.1860458E+00,3.36426E+00
-1.1860275E+00,3.29590E+00
-1.1860092E+00,3.30566E+00
-1.1859908E+00,3.33496E+00
-1.1859725E+00,3.33496E+00
-1.1859541E+00,3.40332E+00
-1.1859358E+00,3.37402E+00
-1.1859175E+00,3.33496E+00
-1.1858991E+00,3.31543E+00
-1.1858808E+00,3.30566E+00
-1.1858625E+00,3.28613E+00
-1.1858441E+00,3.34473E+00
-1.1858258E+00,3.35449E+00
-1.1858075E+00,3.36426E+00
-1.1857891E+00,3.34473E+00
